Latitude,Longitude,N2O (nM),DO (mg L-1),Chl-a (µg L-1),DIN (µg N L-1),Buoyancy frequency (s-2)
51.04648,-104.65134,6.82,4.94,13.14,263.67,0.0089
50.99500,-104.68568,5.77,6.98,3.00,122.60,0.0077
50.10833,-102.04143,8.90,8.58,17.43,97.76,0.0013
50.02262,-101.88369,11.35,7.46,4.42,117.62,0.0035
49.97308,-101.76763,1.64,8.84,40.37,171.75,0.0056
49.95133,-101.79024,109.79,10.15,97.89,3428.68,0.0118
49.94727,-101.76752,5.11,7.55,101.13,112.26,0.0019
49.85824,-101.71194,15.10,8.07,25.25,214.86,0.0000
49.98583,-101.92710,1.43,7.73,38.66,113.98,0.0073
49.99197,-101.92990,6.24,7.72,19.39,96.69,0.0157
49.91539,-101.69835,6.96,6.88,33.40,117.09,0.0128
50.39611,-104.57745,13.73,3.95,46.48,31.83,0.0099
50.35226,-104.57456,5.83,9.45,27.44,369.80,0.0181
50.35349,-104.57772,15.66,6.97,5.87,481.55,0.0098
50.33757,-104.50439,6.31,11.09,31.76,64.81,0.0052
50.56744,-104.46211,7.63,11.08,107.43,204.17,0.0057
50.33809,-104.48210,5.90,9.51,48.25,,0.0075
50.31057,-106.42409,33.64,2.37,11.70,2352.92,0.0000
50.33084,-106.50781,10.16,5.25,40.48,65.28,0.0000
50.31712,-106.50479,30.21,3.18,3.53,882.68,0.0000
50.23982,-106.12133,5.26,5.27,3.25,126.29,0.0026
50.23964,-105.99758,14.60,3.79,2.39,230.01,0.0000
50.25328,-106.07295,5.75,4.00,59.84,59.11,0.0044
49.98368,-105.28633,4.04,6.84,3.49,64.19,0.0158
49.98273,-105.30243,6.37,4.42,46.79,64.44,0.0004
50.12525,-103.86236,16.39,9.56,29.95,51.21,0.0008
50.13197,-103.84161,6.01,7.59,33.68,73.11,0.0086
50.13321,-103.85594,6.50,8.56,25.95,42.18,0.0121
49.04090,-103.50060,3.52,1.60,103.40,360.90,0.0037
49.04140,-103.50101,1.69,13.73,54.29,89.59,0.0129
49.04037,-103.49865,5.76,1.32,125.82,76.32,0.0066
49.83189,-101.75690,5.68,17.70,176.10,263.12,0.0276
49.80242,-101.74679,3.86,4.00,9.90,139.27,0.0213
49.79956,-101.76376,4.07,17.28,114.42,98.25,0.0269
49.80365,-101.76676,4.61,9.58,14.94,267.15,
49.52981,-101.91100,5.78,10.70,42.84,42.69,0.0109
49.57961,-101.89367,7.28,7.85,28.53,54.38,0.0113
50.27662,-103.71397,12.06,8.46,152.53,3769.44,0.0083
50.28210,-103.71067,6.60,20.93,265.71,685.25,0.0117
51.14319,-105.65466,17.56,4.41,26.72,739.60,0.0032
50.63367,-104.68465,8.91,3.58,384.00,556.54,0.0010
50.43921,-103.67125,6.43,4.20,106.27,125.31,0.0134
50.44337,-103.65922,24.35,1.61,5.17,990.97,0.0004
50.44165,-103.67529,6.81,3.28,96.58,129.36,0.0059
52.62542,-104.64627,3.94,14.49,223.78,305.04,
52.62561,-104.65643,9.41,10.48,72.39,93.74,0.0058
52.62899,-104.70537,10.65,0.74,1564.51,7687.96,0.0004
52.61549,-104.81382,2.64,0.24,118.84,6917.60,0.0271
52.59520,-104.80083,7.36,4.69,5.79,83.23,0.0033
52.60226,-104.80980,3.56,8.27,73.69,447.72,0.0269
49.33156,-109.10526,7.13,7.04,6.31,104.18,0.0004
49.32986,-109.04867,6.87,8.34,96.84,213.79,0.0004
49.29757,-109.10841,5.92,7.06,38.82,127.80,0.0007
49.25726,-108.40901,10.38,10.45,140.48,224.71,0.0156
49.26081,-108.40865,9.71,6.60,35.10,303.76,0.0027
49.26151,-108.40900,27.49,10.98,166.11,350.63,0.0043
49.91920,-109.84868,7.84,9.93,52.93,130.24,0.0019
49.91797,-109.85177,12.64,4.19,98.90,,0.0043
50.35456,-108.87658,11.28,6.50,13.72,153.29,0.0136
50.39632,-109.11725,6.40,7.68,6.12,84.87,0.0006
50.39857,-109.08987,9.63,5.12,2.48,270.80,0.0163
52.55179,-103.89583,42.53,9.01,8.36,346.84,0.0076
52.63330,-104.66040,6.01,8.55,8.96,1028.68,0.0029
52.62794,-104.71507,7.82,3.77,2483.61,119.22,0.0004
52.52440,-105.21877,1.89,28.39,150.74,243.70,0.0268
52.69180,-106.02972,4.44,9.65,181.59,565.36,0.0067
51.14324,-105.65466,32.40,2.51,11.11,784.57,0.0050
50.77282,-107.94051,7.04,12.34,87.97,93.90,0.0011
50.79424,-107.93136,6.61,8.75,32.72,85.02,0.0037
50.79427,-107.94440,5.74,7.60,24.97,210.17,0.0059
51.14608,-107.53290,4.68,14.74,115.21,,0.0124
51.13860,-107.53661,6.65,2.69,8.83,2790.00,0.0059
51.42597,-107.00040,6.56,7.33,30.93,107.90,0.0029
51.41351,-107.00191,6.08,9.00,182.54,99.67,0.0060
51.50316,-106.83583,6.40,4.35,40.14,592.38,0.0031
51.34198,-108.04363,5.33,5.19,24.28,33.44,0.0015
51.34313,-108.06308,5.21,23.47,73.77,319.92,0.0048
51.67165,-107.29446,8.79,7.93,6.55,1521.79,0.0018
51.67624,-107.29423,6.77,9.00,2.91,109.45,0.0019
51.68453,-107.21790,4.59,23.78,164.11,466.41,0.0114
52.40304,-107.92971,6.53,4.21,2.23,147.96,0.0015
52.40814,-107.92896,5.73,4.15,15.07,151.15,0.0016
52.41474,-107.92747,6.16,10.16,147.76,140.45,0.0031
52.41588,-107.93136,7.38,6.84,16.15,105.02,0.0067
52.61742,-107.39540,5.91,9.18,5.81,65.25,0.0063
52.61391,-107.40239,8.39,8.45,17.02,540.01,0.0027
52.65964,-107.37451,8.70,10.46,91.95,5000.00,0.0017
52.71911,-108.88540,8.03,8.13,7.68,51.33,0.0004
52.67910,-108.90743,6.54,5.92,58.90,78.89,0.0054
52.62412,-107.45502,8.26,8.37,2.68,134.13,0.0082
52.63770,-107.45095,7.02,5.48,132.79,693.57,0.0023
52.63996,-107.45967,7.65,5.77,4.24,758.77,0.0016
50.33835,-104.65250,19.29,8.64,52.58,102.53,0.0009
51.37151,-102.58316,2.56,3.90,2.37,106.84,0.0000
51.54864,-102.76026,6.37,6.84,17.14,332.05,0.0052
51.55365,-102.76506,6.99,8.76,23.07,42.22,0.0054
51.54495,-102.76698,7.31,10.12,167.10,129.02,0.0044
51.80564,-103.37831,7.93,7.46,174.61,99.83,0.0000
51.80376,-103.40521,6.63,10.28,50.21,,
51.77975,-103.42531,6.52,4.47,10.56,261.10,0.0004
51.77527,-103.46152,7.71,8.54,67.05,95.48,0.0034
51.04648,-104.65134,6.82,4.94,13.14,263.67,0.0089
